STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00417588,"RICHARDSON, TX US",06/30/25,0,94,76,80
USC00417588,"RICHARDSON, TX US",06/29/25,0,95,79,88
USC00417588,"RICHARDSON, TX US",06/28/25,0,94,78,86
USC00417588,"RICHARDSON, TX US",06/27/25,0,93,74,85
USC00417588,"RICHARDSON, TX US",06/26/25,0,93,75,79
USC00417588,"RICHARDSON, TX US",06/25/25,0,92,74,81
USC00417588,"RICHARDSON, TX US",06/24/25,0,94,76,83
USC00417588,"RICHARDSON, TX US",06/23/25,0,93,77,86
USC00417588,"RICHARDSON, TX US",06/22/25,0,93,75,81
USC00417588,"RICHARDSON, TX US",06/21/25,0,94,78,81
USC00417588,"RICHARDSON, TX US",06/20/25,0,94,80,86
USC00417588,"RICHARDSON, TX US",06/19/25,0,94,78,86
USC00417588,"RICHARDSON, TX US",06/18/25,0,93,78,86
USC00417588,"RICHARDSON, TX US",06/17/25,0,92,76,86
USC00417588,"RICHARDSON, TX US",06/16/25,0.01,96,71,87
USC00417588,"RICHARDSON, TX US",06/15/25,0.07,84,70,77
USC00417588,"RICHARDSON, TX US",06/14/25,0,93,69,82
USC00417588,"RICHARDSON, TX US",06/13/25,0,91,71,75
USC00417588,"RICHARDSON, TX US",06/12/25,0.27,82,69,72
USC00417588,"RICHARDSON, TX US",06/11/25,0.26,75,70,71
USC00417588,"RICHARDSON, TX US",06/10/25,0.01,82,73,75
USC00417588,"RICHARDSON, TX US",06/09/25,0.24,91,70,82
USC00417588,"RICHARDSON, TX US",06/08/25,1.45,95,68,70
USC00417588,"RICHARDSON, TX US",06/07/25,0,92,78,87
USC00417588,"RICHARDSON, TX US",06/06/25,0,92,79,85
USC00417588,"RICHARDSON, TX US",06/05/25,0.02,90,71,81
USC00417588,"RICHARDSON, TX US",06/04/25,3.4,83,67,74
USC00417588,"RICHARDSON, TX US",06/03/25,0,92,71,74
USC00417588,"RICHARDSON, TX US",06/02/25,0,94,73,84
USC00417588,"RICHARDSON, TX US",06/01/25,0,90,71,75
USC00417588,"RICHARDSON, TX US",05/31/25,0,89,64,79
USC00417588,"RICHARDSON, TX US",05/30/25,0.14,83,64,73
USC00417588,"RICHARDSON, TX US",05/29/25,0,88,66,72
USC00417588,"RICHARDSON, TX US",05/28/25,0,80,67,71
USC00417588,"RICHARDSON, TX US",05/27/25,0,82,67,76
USC00417588,"RICHARDSON, TX US",05/26/25,2.1,84,64,69
USC00417588,"RICHARDSON, TX US",05/25/25,0,95,76,83
USC00417588,"RICHARDSON, TX US",05/24/25,0,94,70,84
USC00417588,"RICHARDSON, TX US",05/23/25,0,94,69,84
USC00417588,"RICHARDSON, TX US",05/22/25,0,87,67,80
USC00417588,"RICHARDSON, TX US",05/21/25,0,88,60,79
USC00417588,"RICHARDSON, TX US",05/20/25,0.08,83,68,73
USC00417588,"RICHARDSON, TX US",05/19/25,0.02,83,75,80
USC00417588,"RICHARDSON, TX US",05/18/25,0.07,84,75,78
USC00417588,"RICHARDSON, TX US",05/17/25,0,90,76,80
USC00417588,"RICHARDSON, TX US",05/16/25,0,88,73,79
USC00417588,"RICHARDSON, TX US",05/15/25,0,90,73,74
USC00417588,"RICHARDSON, TX US",05/14/25,0,95,74,83
USC00417588,"RICHARDSON, TX US",05/13/25,0,93,60,85
USC00417588,"RICHARDSON, TX US",05/12/25,0,84,60,73
USC00417588,"RICHARDSON, TX US",05/11/25,0,76,60,68
USC00417588,"RICHARDSON, TX US",05/10/25,0,77,61,68
USC00417588,"RICHARDSON, TX US",05/09/25,0,80,61,70
USC00417588,"RICHARDSON, TX US",05/08/25,0,77,62,67
USC00417588,"RICHARDSON, TX US",05/07/25,0,77,59,69
USC00417588,"RICHARDSON, TX US",05/06/25,1.02,65,59,60
USC00417588,"RICHARDSON, TX US",05/05/25,0.23,72,59,59
USC00417588,"RICHARDSON, TX US",05/04/25,0,78,52,67
USC00417588,"RICHARDSON, TX US",05/03/25,0,74,55,59
USC00417588,"RICHARDSON, TX US",05/02/25,0.62,70,60,63
USC00417588,"RICHARDSON, TX US",05/01/25,0.01,76,61,70
USC00417588,"RICHARDSON, TX US",04/30/25,2.5,83,58,61
USC00417588,"RICHARDSON, TX US",04/29/25,0,84,72,75
USC00417588,"RICHARDSON, TX US",04/28/25,0,80,71,75
USC00417588,"RICHARDSON, TX US",04/27/25,0,81,68,76
USC00417588,"RICHARDSON, TX US",04/26/25,0,83,68,76
USC00417588,"RICHARDSON, TX US",04/25/25,0.03,81,61,71
USC00417588,"RICHARDSON, TX US",04/24/25,0.95,70,62,63
USC00417588,"RICHARDSON, TX US",04/23/25,1.2,83,64,66
USC00417588,"RICHARDSON, TX US",04/22/25,0,87,60,75
USC00417588,"RICHARDSON, TX US",04/21/25,0,83,56,61
USC00417588,"RICHARDSON, TX US",04/20/25,0.24,76,62,62
USC00417588,"RICHARDSON, TX US",04/19/25,0.1,77,64,73
USC00417588,"RICHARDSON, TX US",04/18/25,0,85,68,77
USC00417588,"RICHARDSON, TX US",04/17/25,0,83,66,73
USC00417588,"RICHARDSON, TX US",04/16/25,0,80,58,74
USC00417588,"RICHARDSON, TX US",04/15/25,0,75,58,61
USC00417588,"RICHARDSON, TX US",04/14/25,0,87,64,72
USC00417588,"RICHARDSON, TX US",04/13/25,0,92,65,68
USC00417588,"RICHARDSON, TX US",04/12/25,0,82,59,73
USC00417588,"RICHARDSON, TX US",04/11/25,0,81,57,63
USC00417588,"RICHARDSON, TX US",04/10/25,0,83,56,69
USC00417588,"RICHARDSON, TX US",04/09/25,0,84,48,60
USC00417588,"RICHARDSON, TX US",04/08/25,0,76,42,48
USC00417588,"RICHARDSON, TX US",04/07/25,0,67,38,42
USC00417588,"RICHARDSON, TX US",04/06/25,0,48,42,43
USC00417588,"RICHARDSON, TX US",04/05/25,1.66,70,47,47
USC00417588,"RICHARDSON, TX US",04/04/25,0.15,70,54,56
USC00417588,"RICHARDSON, TX US",04/03/25,0.17,70,54,56
USC00417588,"RICHARDSON, TX US",04/02/25,0.1,79,61,67
USC00417588,"RICHARDSON, TX US",04/01/25,0,81,57,61
USC00417588,"RICHARDSON, TX US",03/31/25,0,82,51,60
USC00417588,"RICHARDSON, TX US",03/30/25,0,81,59,61
USC00417588,"RICHARDSON, TX US",03/29/25,0,80,63,76
USC00417588,"RICHARDSON, TX US",03/28/25,0.54,73,60,64
USC00417588,"RICHARDSON, TX US",03/27/25,0,79,60,62
USC00417588,"RICHARDSON, TX US",03/26/25,0.16,76,63,64
USC00417588,"RICHARDSON, TX US",03/25/25,0.05,88,57,67
USC00417588,"RICHARDSON, TX US",03/24/25,0,80,52,65
USC00417588,"RICHARDSON, TX US",03/23/25,0,80,62,67
USC00417588,"RICHARDSON, TX US",03/22/25,0,83,55,62
USC00417588,"RICHARDSON, TX US",03/21/25,0,75,46,65
USC00417588,"RICHARDSON, TX US",03/20/25,0,63,42,51
USC00417588,"RICHARDSON, TX US",03/19/25,0,71,50,50
USC00417588,"RICHARDSON, TX US",03/18/25,0,81,59,71
USC00417588,"RICHARDSON, TX US",03/17/25,0,82,52,69
USC00417588,"RICHARDSON, TX US",03/16/25,0,69,46,56
USC00417588,"RICHARDSON, TX US",03/15/25,0,72,56,56
USC00417588,"RICHARDSON, TX US",03/14/25,0,84,63,72
USC00417588,"RICHARDSON, TX US",03/13/25,0,85,59,72
USC00417588,"RICHARDSON, TX US",03/12/25,0,80,57,68
USC00417588,"RICHARDSON, TX US",03/11/25,0,79,53,68
USC00417588,"RICHARDSON, TX US",03/10/25,0,73,43,61
USC00417588,"RICHARDSON, TX US",03/09/25,0.09,56,42,49
USC00417588,"RICHARDSON, TX US",03/08/25,1,71,43,44
USC00417588,"RICHARDSON, TX US",03/07/25,0,81,56,65
USC00417588,"RICHARDSON, TX US",03/06/25,0,65,40,59
USC00417588,"RICHARDSON, TX US",03/05/25,0,60,42,45
USC00417588,"RICHARDSON, TX US",03/04/25,0,71,49,52
USC00417588,"RICHARDSON, TX US",03/03/25,0.02,68,52,68
USC00417588,"RICHARDSON, TX US",03/02/25,0.38,75,53,53
USC00417588,"RICHARDSON, TX US",03/01/25,0,77,48,62
USC00417588,"RICHARDSON, TX US",02/28/25,0,75,43,61
USC00417588,"RICHARDSON, TX US",02/27/25,0,71,50,50
USC00417588,"RICHARDSON, TX US",02/26/25,0,79,55,63
USC00417588,"RICHARDSON, TX US",02/25/25,0.01,77,49,64
USC00417588,"RICHARDSON, TX US",02/24/25,0.1,70,42,57
USC00417588,"RICHARDSON, TX US",02/23/25,0,63,37,46
USC00417588,"RICHARDSON, TX US",02/22/25,0,51,27,39
USC00417588,"RICHARDSON, TX US",02/21/25,0,32,21,30
USC00417588,"RICHARDSON, TX US",02/20/25,0,29,11,23
USC00417588,"RICHARDSON, TX US",02/19/25,0,26,12,15
USC00417588,"RICHARDSON, TX US",02/18/25,0,50,19,19
USC00417588,"RICHARDSON, TX US",02/17/25,0,54,29,50
USC00417588,"RICHARDSON, TX US",02/16/25,0,68,29,35
USC00417588,"RICHARDSON, TX US",02/15/25,0,68,34,35
USC00417588,"RICHARDSON, TX US",02/14/25,0.01,54,36,46
USC00417588,"RICHARDSON, TX US",02/13/25,0,37,21,36
USC00417588,"RICHARDSON, TX US",02/12/25,0.62,45,29,29
USC00417588,"RICHARDSON, TX US",02/11/25,0.18,44,40,42
USC00417588,"RICHARDSON, TX US",02/10/25,0.2,42,38,42
USC00417588,"RICHARDSON, TX US",02/09/25,0.01,49,42,42
