"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00417588","RICHARDSON, TX US","2020-01-01","0.00","54","41"
"USC00417588","RICHARDSON, TX US","2020-01-02","0.00","59","46"
"USC00417588","RICHARDSON, TX US","2020-01-03","0.00","60","45"
"USC00417588","RICHARDSON, TX US","2020-01-04","0.00","59","36"
"USC00417588","RICHARDSON, TX US","2020-01-05","0.00","68","39"
"USC00417588","RICHARDSON, TX US","2020-01-06","0.00","64","36"
"USC00417588","RICHARDSON, TX US","2020-01-07","0.00","63","38"
"USC00417588","RICHARDSON, TX US","2020-01-08","0.00","63","34"
"USC00417588","RICHARDSON, TX US","2020-01-09","0.01","67","56"
"USC00417588","RICHARDSON, TX US","2020-01-10","1.09","69","45"
"USC00417588","RICHARDSON, TX US","2020-01-11","0.30","45","29"
"USC00417588","RICHARDSON, TX US","2020-01-12","0.00","55","30"
"USC00417588","RICHARDSON, TX US","2020-01-13","0.00","60","39"
"USC00417588","RICHARDSON, TX US","2020-01-14","0.01","69","57"
"USC00417588","RICHARDSON, TX US","2020-01-15","0.00","78","59"
"USC00417588","RICHARDSON, TX US","2020-01-16","0.00","59","45"
"USC00417588","RICHARDSON, TX US","2020-01-17","0.35","62","46"
"USC00417588","RICHARDSON, TX US","2020-01-18","0.00","62","41"
"USC00417588","RICHARDSON, TX US","2020-01-19","0.00","53","31"
"USC00417588","RICHARDSON, TX US","2020-01-20","0.00","54","32"
"USC00417588","RICHARDSON, TX US","2020-01-21","0.04","46","27"
"USC00417588","RICHARDSON, TX US","2020-01-22","0.48","42","36"
"USC00417588","RICHARDSON, TX US","2020-01-23","0.04","53","40"
"USC00417588","RICHARDSON, TX US","2020-01-24","0.00","55","36"
"USC00417588","RICHARDSON, TX US","2020-01-25","0.00","60","36"
"USC00417588","RICHARDSON, TX US","2020-01-26","0.00","58","41"
"USC00417588","RICHARDSON, TX US","2020-01-27","0.01","61","40"
"USC00417588","RICHARDSON, TX US","2020-01-28","0.60","60","40"
"USC00417588","RICHARDSON, TX US","2020-01-29","0.02","44","34"
"USC00417588","RICHARDSON, TX US","2020-01-30","0.02","44","37"
"USC00417588","RICHARDSON, TX US","2020-01-31","0.00","54","41"
"USC00417588","RICHARDSON, TX US","2020-02-01","0.00","64","33"
"USC00417588","RICHARDSON, TX US","2020-02-02","0.00","79","46"
"USC00417588","RICHARDSON, TX US","2020-02-03","0.10","71","56"
"USC00417588","RICHARDSON, TX US","2020-02-04","0.06","64","37"
"USC00417588","RICHARDSON, TX US","2020-02-05","0.14","38","31"
"USC00417588","RICHARDSON, TX US","2020-02-06","0.00","45","28"
"USC00417588","RICHARDSON, TX US","2020-02-07","0.00","59","32"
"USC00417588","RICHARDSON, TX US","2020-02-08","0.00","64","35"
"USC00417588","RICHARDSON, TX US","2020-02-09","0.05","65","57"
"USC00417588","RICHARDSON, TX US","2020-02-10","0.45","59","39"
"USC00417588","RICHARDSON, TX US","2020-02-11","0.27","43","39"
"USC00417588","RICHARDSON, TX US","2020-02-12","1.80","46","40"
"USC00417588","RICHARDSON, TX US","2020-02-13","0.00","44","32"
"USC00417588","RICHARDSON, TX US","2020-02-14","0.00","51","26"
"USC00417588","RICHARDSON, TX US","2020-02-15","0.00","62","36"
"USC00417588","RICHARDSON, TX US","2020-02-16","0.00","75","47"
"USC00417588","RICHARDSON, TX US","2020-02-17","0.00","75","59"
"USC00417588","RICHARDSON, TX US","2020-02-18","0.20","62","47"
"USC00417588","RICHARDSON, TX US","2020-02-19","0.64","48","41"
"USC00417588","RICHARDSON, TX US","2020-02-20","0.00","53","36"
"USC00417588","RICHARDSON, TX US","2020-02-21","0.00","49","29"
"USC00417588","RICHARDSON, TX US","2020-02-22","0.00","56","38"
"USC00417588","RICHARDSON, TX US","2020-02-23","0.05","58","47"
"USC00417588","RICHARDSON, TX US","2020-02-24","0.01","64","47"
"USC00417588","RICHARDSON, TX US","2020-02-25","0.00","60","41"
"USC00417588","RICHARDSON, TX US","2020-02-26","0.00","48","32"
"USC00417588","RICHARDSON, TX US","2020-02-27","0.00","59","27"
"USC00417588","RICHARDSON, TX US","2020-02-28","0.00","66","39"
"USC00417588","RICHARDSON, TX US","2020-02-29","0.00","75","45"
"USC00417588","RICHARDSON, TX US","2020-03-01","0.00","72","58"
"USC00417588","RICHARDSON, TX US","2020-03-02","0.00","70","60"
"USC00417588","RICHARDSON, TX US","2020-03-03","0.00","66","54"
"USC00417588","RICHARDSON, TX US","2020-03-04","0.92","58","49"
"USC00417588","RICHARDSON, TX US","2020-03-05","0.03","72","42"
"USC00417588","RICHARDSON, TX US","2020-03-06","0.00","72","42"
"USC00417588","RICHARDSON, TX US","2020-03-07","0.00","62","43"
"USC00417588","RICHARDSON, TX US","2020-03-08","0.00","67","47"
"USC00417588","RICHARDSON, TX US","2020-03-09","0.05","73","59"
"USC00417588","RICHARDSON, TX US","2020-03-10","0.00","78","48"
"USC00417588","RICHARDSON, TX US","2020-03-11","0.00","85","65"
"USC00417588","RICHARDSON, TX US","2020-03-12","0.00","81","65"
"USC00417588","RICHARDSON, TX US","2020-03-13","1.00","74","57"
"USC00417588","RICHARDSON, TX US","2020-03-14","0.18","72","52"
"USC00417588","RICHARDSON, TX US","2020-03-15","0.60","55","49"
"USC00417588","RICHARDSON, TX US","2020-03-16","1.15","67","50"
"USC00417588","RICHARDSON, TX US","2020-03-17","0.03","65","58"
"USC00417588","RICHARDSON, TX US","2020-03-18","1.47","79","65"
"USC00417588","RICHARDSON, TX US","2020-03-19","0.97","79","62"
"USC00417588","RICHARDSON, TX US","2020-03-20","0.15","65","43"
"USC00417588","RICHARDSON, TX US","2020-03-21","0.15","59","39"
"USC00417588","RICHARDSON, TX US","2020-03-22","0.20","60","50"
"USC00417588","RICHARDSON, TX US","2020-03-23","0.10","65","58"
"USC00417588","RICHARDSON, TX US","2020-03-24","0.00","84","64"
"USC00417588","RICHARDSON, TX US","2020-03-25","0.00","87","65"
"USC00417588","RICHARDSON, TX US","2020-03-26","0.00","83","65"
"USC00417588","RICHARDSON, TX US","2020-03-27","0.00","81","67"
"USC00417588","RICHARDSON, TX US","2020-03-28","0.18","76","54"
"USC00417588","RICHARDSON, TX US","2020-03-29","0.19","71","50"
"USC00417588","RICHARDSON, TX US","2020-03-30","0.50","63","52"
"USC00417588","RICHARDSON, TX US","2020-03-31","0.00",,
"USC00417588","RICHARDSON, TX US","2020-04-01","0.00","70","47"
"USC00417588","RICHARDSON, TX US","2020-04-02","0.00","68","58"
"USC00417588","RICHARDSON, TX US","2020-04-03","0.00","66","39"
"USC00417588","RICHARDSON, TX US","2020-04-04","0.19","47","39"
"USC00417588","RICHARDSON, TX US","2020-04-05","0.00","65","45"
"USC00417588","RICHARDSON, TX US","2020-04-06","0.00","71","59"
"USC00417588","RICHARDSON, TX US","2020-04-07","0.00","86","65"
"USC00417588","RICHARDSON, TX US","2020-04-08","0.00","93","69"
"USC00417588","RICHARDSON, TX US","2020-04-09","0.00","76","64"
"USC00417588","RICHARDSON, TX US","2020-04-10","0.00","73","54"
"USC00417588","RICHARDSON, TX US","2020-04-11","0.10","67","56"
"USC00417588","RICHARDSON, TX US","2020-04-12","0.40","79","45"
"USC00417588","RICHARDSON, TX US","2020-04-13","0.00","55","38"
"USC00417588","RICHARDSON, TX US","2020-04-14","0.00","65","41"
"USC00417588","RICHARDSON, TX US","2020-04-15","0.00","65","35"
"USC00417588","RICHARDSON, TX US","2020-04-16","0.00","72","48"
"USC00417588","RICHARDSON, TX US","2020-04-17","0.00","65","47"
"USC00417588","RICHARDSON, TX US","2020-04-18","0.01","63","40"
"USC00417588","RICHARDSON, TX US","2020-04-19","0.11","78","57"
"USC00417588","RICHARDSON, TX US","2020-04-20","0.00","75","53"
"USC00417588","RICHARDSON, TX US","2020-04-21","0.00","82","59"
"USC00417588","RICHARDSON, TX US","2020-04-22","0.10","85","63"
"USC00417588","RICHARDSON, TX US","2020-04-23","0.00","83","58"
"USC00417588","RICHARDSON, TX US","2020-04-24","0.00","89","62"
"USC00417588","RICHARDSON, TX US","2020-04-25","0.00","76","56"
"USC00417588","RICHARDSON, TX US","2020-04-26","0.00","82","52"
"USC00417588","RICHARDSON, TX US","2020-04-27","0.00","82","61"
"USC00417588","RICHARDSON, TX US","2020-04-28","0.13","88","66"
"USC00417588","RICHARDSON, TX US","2020-04-29","0.59","88","60"
"USC00417588","RICHARDSON, TX US","2020-04-30","0.00","82","53"
"USC00417588","RICHARDSON, TX US","2020-05-01","0.00","86","61"
"USC00417588","RICHARDSON, TX US","2020-05-02","0.00","86","65"
"USC00417588","RICHARDSON, TX US","2020-05-03","0.00","88","65"
"USC00417588","RICHARDSON, TX US","2020-05-04","0.00","88","69"
"USC00417588","RICHARDSON, TX US","2020-05-05","0.10","83","62"
"USC00417588","RICHARDSON, TX US","2020-05-06","0.00","80","51"
"USC00417588","RICHARDSON, TX US","2020-05-07","0.05","83","56"
"USC00417588","RICHARDSON, TX US","2020-05-08","0.20","73","57"
"USC00417588","RICHARDSON, TX US","2020-05-09","0.00","73","51"
"USC00417588","RICHARDSON, TX US","2020-05-10","0.00","77","50"
"USC00417588","RICHARDSON, TX US","2020-05-11","0.00","77","50"
"USC00417588","RICHARDSON, TX US","2020-05-12","0.30","76","65"
"USC00417588","RICHARDSON, TX US","2020-05-13","0.00","82","65"
"USC00417588","RICHARDSON, TX US","2020-05-14","0.00","88","65"
"USC00417588","RICHARDSON, TX US","2020-05-15","0.02","85","66"
"USC00417588","RICHARDSON, TX US","2020-05-16","1.60","67","63"
"USC00417588","RICHARDSON, TX US","2020-05-17","0.10","83","63"
"USC00417588","RICHARDSON, TX US","2020-05-18","0.00","89","61"
"USC00417588","RICHARDSON, TX US","2020-05-19","0.50","90","64"
"USC00417588","RICHARDSON, TX US","2020-05-20","0.00","76","68"
"USC00417588","RICHARDSON, TX US","2020-05-21","0.00","85","68"
"USC00417588","RICHARDSON, TX US","2020-05-22","0.00","87","72"
"USC00417588","RICHARDSON, TX US","2020-05-23","1.12","88","64"
"USC00417588","RICHARDSON, TX US","2020-05-24","0.50","86","66"
"USC00417588","RICHARDSON, TX US","2020-05-25","0.99","68","64"
"USC00417588","RICHARDSON, TX US","2020-05-26","0.02","72","61"
"USC00417588","RICHARDSON, TX US","2020-05-27","0.00","86","62"
"USC00417588","RICHARDSON, TX US","2020-05-28","0.00","84","68"
"USC00417588","RICHARDSON, TX US","2020-05-29","0.00","86","64"
"USC00417588","RICHARDSON, TX US","2020-05-30","0.00","86","63"
"USC00417588","RICHARDSON, TX US","2020-05-31","0.00","86","63"
"USC00417588","RICHARDSON, TX US","2020-06-01","0.00","86","68"
"USC00417588","RICHARDSON, TX US","2020-06-02","0.00","89","70"
"USC00417588","RICHARDSON, TX US","2020-06-03","0.00","91","73"
"USC00417588","RICHARDSON, TX US","2020-06-04","0.00","95","74"
"USC00417588","RICHARDSON, TX US","2020-06-05","0.00","94","76"
"USC00417588","RICHARDSON, TX US","2020-06-06","0.00","86","75"
"USC00417588","RICHARDSON, TX US","2020-06-07","0.00","92","74"
"USC00417588","RICHARDSON, TX US","2020-06-08","0.00","95","74"
"USC00417588","RICHARDSON, TX US","2020-06-09","0.00","97","75"
